,SESSION_ID,MEDIA_ID,DICOM_ID,CNT,Time (in secs),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,SACCADE_MAG,SACCADE_DIR,VID_FRAME,X_ORIGINAL,Y_ORIGINAL
43217,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,1,0.0061,40232406942.0,0.36793,0.25615,0.0,0.0061,1,1,0.32623,0.27994,1,0.22598,0.40753,20.22207,1.01615,1,0.4926,0.40901,17.35838,1.02355,1,0,0.0,15,4.04555,1,3.46951,1,3.73412,198.90079,0.0,771,534
43218,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,58,0.33008,40235646712.0,0.33718,0.30366,0.01514,0.31494,2,1,0.4216,0.34631,1,0.22928,0.40875,20.59356,1.01878,1,0.4960100000000001,0.41018,18.07911,1.01878,1,0,0.0,15,4.19509,1,3.56674,1,78.22100999999998,220.99342,0.0,595,677
43219,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,90,0.50708,40237417570.0,0.42511,0.35954,0.34033,0.16675,3,1,0.42577,0.37897,1,0.23139,0.40813,21.38552,1.03835,1,0.4983399999999999,0.41043,18.69912,1.04574,1,0,0.0,15,4.18621,1,3.53987,1,179.28825,340.32947,0.0,1098,846
43220,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,124,0.71143,40239459999.0,0.41948,0.3511,0.5158699999999999,0.1955599999999999,4,1,0.40897,0.34763,0,0.23244,0.40876,20.40232,1.01615,0,0.50371,0.41203,15.52462,1.01615,0,0,0.0,15,4.1905,0,3.61195,0,14.13984,139.86078999999998,0.0,1066,821
43221,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,263,1.56909,40248038000.0,0.5725100000000001,0.5272899999999999,1.21948,0.34961,5,1,0.57199,0.55367,1,0.24249,0.4148600000000001,22.5031,1.01615,1,0.51043,0.4187,17.32506,1.01615,1,0,0.0,15,4.34381,1,3.4218300000000004,1,350.05322,327.07169,0.0,1943,1354
43222,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,320,1.89233,40251270382.0,0.52375,0.55989,1.57446,0.31787,6,1,0.54864,0.52022,1,0.2438699999999999,0.41438,21.58073,1.04574,1,0.51165,0.4190100000000001,16.73545,1.04574,1,0,0.0,15,4.17429,1,3.24553,1,100.02077,200.61008,0.0,1664,1453
43223,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,434,2.52441,40257589890.0,0.56282,0.5325,1.89795,0.62646,7,1,0.48917,0.5472600000000001,1,0.24163,0.4112699999999999,20.19991,1.01615,1,0.50889,0.41602,15.69606,1.01615,1,0,0.0,15,3.85041,1,3.16069,1,80.63618000000002,21.52127,0.0,1887,1370
43224,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,472,2.74805,40259827266.0,0.4906,0.52568,2.52881,0.21924,8,1,0.47612,0.52177,1,0.2388699999999999,0.40836,19.93478,1.01615,1,0.5052300000000001,0.41035,15.69203,1.01615,1,0,0.0,14,3.95243,1,3.35441,1,138.85791,176.95937,0.0,1474,1349
43225,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,507,2.95923,40261939320.0,0.5092899999999999,0.34845,2.77148,0.18774,9,1,0.50479,0.28898,1,0.23649,0.40546,19.44787,1.04574,1,0.50215,0.40753,17.21259,1.04574,1,0,0.0,14,3.97786,1,3.27734,1,194.74318,79.38158,0.0,1581,813
43226,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,534,3.1272,40263617847.0,0.49463,0.28199,2.9668,0.1604,10,1,0.47989,0.27892,1,0.23794,0.40407,19.81283,1.01615,1,0.50346,0.40667,16.61835,1.01615,1,0,0.0,14,3.79945,1,3.2337700000000003,1,77.09846999999998,111.41254,0.0,1497,612
43227,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,592,3.47632,40267109304.0,0.48854,0.21109,3.13672,0.3396,11,1,0.52005,0.31085,1,0.23825,0.40604,19.81546,1.04574,1,0.50443,0.40901,17.21732,1.04574,1,0,0.0,14,3.98761,1,3.36731,1,77.45963,98.68224,0.0,1462,397
43228,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,638,3.72046,40269551646.0,0.52652,0.3018099999999999,3.47729,0.24316,12,1,0.47189,0.46461,1,0.2376,0.4097699999999999,20.63864,1.04574,1,0.50422,0.41281,18.03221,1.04574,1,0,0.0,13,4.11721,1,3.39741,1,122.13593,306.65918,0.0,1679,672
43229,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,673,3.91309,40271477326.0,0.46323,0.4936399999999999,3.7417,0.17139,13,1,0.5575399999999999,0.5774600000000001,1,0.24015,0.40965,21.71342000000001,1.01615,1,0.50671,0.41362,17.35691,1.01615,1,0,0.0,13,4.32666,1,3.65094,1,240.18413,239.60675,0.0,1317,1252
43230,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,712,4.12305,40273577965.0,0.53222,0.53973,3.91406,0.20898,14,1,0.53527,0.41568,1,0.23949,0.40746,20.09153,1.01615,1,0.50536,0.41179,16.629360000000002,1.01615,1,0,0.0,13,4.12084,1,3.36495,1,141.50488,339.40439,0.0,1712,1392
43231,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,732,4.2363300000000015,40274710901.0,0.53808,0.40284,4.12402,0.1123,15,1,0.54691,0.30365,1,0.24001,0.40386,19.73692,1.06081,1,0.50571,0.40864,17.93695,1.06081,1,0,0.0,13,4.22074,1,3.43794,1,148.26869,85.64803,0.0,1746,978
43232,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,790,4.55029,40277850327.0,0.54311,0.29156,4.23755,0.31274,16,1,0.51813,0.25682,1,0.23989,0.40563,18.36464,1.04574,1,0.50649,0.41112,16.548289999999998,1.04574,1,0,0.0,13,3.81829,1,3.2941800000000003,1,120.56982,85.40565,0.0,1775,641
43233,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,856,4.9318800000000005,40281666348.0,0.51379,0.2748,4.56006,0.37183,17,1,0.51644,0.30795,1,0.23879,0.40495,19.17302,1.01615,1,0.5060600000000001,0.4108600000000001,17.58053,1.01615,1,0,0.0,13,3.95556,1,3.35154,1,59.13292,162.17543,0.0,1607,590
43234,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,911,5.2395,40284740600.0,0.68523,0.53943,4.95483,0.28467,18,1,0.65614,0.4178199999999999,1,0.24759,0.40781,20.77834,1.01615,1,0.51395,0.41595,17.471410000000002,1.01615,1,0,0.0,13,4.34916,1,3.3574,1,435.9258400000001,319.03354,0.0,2589,1391
43235,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,930,5.33838,40285729901.0,0.64088,0.39276,5.240480000000002,0.0979,19,1,0.61649,0.2863199999999999,1,0.24686,0.40528,20.18219,1.04574,1,0.5135,0.41355,17.31596,1.04574,1,0,0.0,13,4.34245,1,3.52349,1,179.84036,118.26085,0.0,2335,947
43236,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,962,5.5144,40287489727.0,0.62041,0.3094699999999999,5.34326,0.17114,20,1,0.61054,0.2874,1,0.24459,0.4051599999999999,19.58661,1.04629,1,0.51176,0.41313,17.2669,1.04629,1,0,0.0,12,4.0747300000000015,1,3.29642,1,98.16444,113.60148999999998,0.0,2217,695
43237,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,992,5.68262,40289173321.0,0.61425,0.28575,5.51538,0.16724,21,1,0.60738,0.21298,1,0.24336,0.4038,20.18626,1.05328,1,0.5099,0.4108600000000001,17.41006,1.04588,1,0,0.0,12,3.91084,1,3.42112,1,28.216040000000003,114.78209,0.0,2182,623
43238,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,1039,5.941409999999999,40291760979.0,0.6029100000000001,0.22228,5.69214,0.24927,22,1,0.44067,0.2789,1,0.2365199999999999,0.40502,19.51103,1.02355,1,0.50363,0.41052,17.5922,1.01615,1,0,0.0,12,4.27321,1,3.6307,1,71.92241,107.62145,0.0,2117,431
43239,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,1092,6.24219,40294768227.0,0.38444,0.30853,5.96704,0.27515,23,1,0.33607,0.44911,1,0.2326599999999999,0.40911,21.49384,1.04574,1,0.49982,0.4136399999999999,18.29981,1.04574,1,0,0.0,12,4.14487,1,3.46372,1,429.68079000000006,192.52049,0.0,865,692
43240,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,1166,6.64648,40298812170.0,0.3559199999999999,0.50669,6.25903,0.38745,24,1,0.3224599999999999,0.44693,1,0.23171,0.41167,21.79566,1.07904,1,0.4991100000000001,0.41627,18.23975,1.07904,1,0,0.0,12,4.09516,1,3.5349,1,220.90715,255.64792000000003,0.0,702,1292
43241,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,1221,6.944089999999999,40301788770.0,0.33899,0.4960699999999999,6.6474600000000015,0.29663,25,1,0.38424,0.4934199999999999,1,0.23153,0.41144,21.12882,1.03305,1,0.49896,0.41545,17.10041,1.02565,1,0,0.0,12,4.03969,1,3.30263,1,34.4698,160.56462,0.0,605,1260
43242,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,1276,7.26831,40305030045.0,0.40316,0.46928,6.95361,0.3147,26,1,0.40156,0.25008,1,0.23219,0.407,20.53506,1.01615,1,0.49896,0.4124600000000001,17.306820000000002,1.01615,1,0,0.0,12,4.07227,1,3.40498,1,126.5581,13.2156,0.0,973,1179
43243,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,1338,7.6074199999999985,40308421319.0,0.3907199999999999,0.2479599999999999,7.29346,0.31396,27,1,0.43003,0.2013,1,0.2318800000000001,0.40459,20.40052,1.01615,1,0.4981399999999999,0.40915,17.96709,1.01615,1,0,0.0,12,4.18772,1,3.46631,1,240.21599,95.70638,0.0,901,509
43244,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,1359,7.73096,40309657300.0,0.42903,0.1792099999999999,7.61694,0.1140099999999999,28,1,0.4290600000000001,0.15025,1,0.232,0.40439,20.86881,1.08657,1,0.49862,0.40844,18.51339,1.08657,1,0,0.0,12,4.17293,1,3.49491,1,104.5152,45.26934,0.0,1121,301
43245,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,1380,7.84985,40310846264.0,0.45773,0.15005,7.73682,0.11304,29,1,0.61315,0.17299,1,0.24003,0.40326,20.75556,1.04629,1,0.50592,0.40896,18.92491,1.04629,1,0,0.0,12,4.60958,1,3.65694,1,63.46848000000001,29.74865,0.0,1285,213
43246,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,1408,8.00513,40312397378.0,0.65952,0.16333,7.87573,0.12939,30,1,0.72414,0.23342,1,0.245,0.40639,22.33004,1.04629,1,0.51107,0.4124100000000001,18.5245,1.04629,1,0,0.0,12,4.6233,1,3.6025,1,387.70209,357.87994,0.0,2442,253
43247,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,1443,8.1897,40314244318.0,0.72702,0.2273099999999999,8.0061,0.18359,31,1,0.74287,0.17559,1,0.24516,0.40568,21.61434,1.10917,1,0.51166,0.4116800000000001,18.06907,1.10917,1,0,0.0,12,4.42823,1,3.72264,1,146.86992,331.93497,0.0,2828,446
43248,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,1460,8.29712,40315318760.0,0.72187,0.2489,8.19873,0.0983899999999999,32,1,0.61812,0.36288,1,0.2428,0.40856,22.49015,1.01615,1,0.5098699999999999,0.41347,18.0736,1.01615,1,0,0.0,12,4.62154,1,3.79605,1,25.32716,247.01978,0.0,2799,512
43249,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,1494,8.48071,40317154252.0,0.51545,0.62871,8.32935,0.15137,33,1,0.43609,0.67243,1,0.23205,0.41645,21.23627,1.01615,1,0.49931,0.4193199999999999,17.3759,1.01615,1,0,0.0,11,4.17005,1,3.58662,1,570.38086,225.98512,0.0,1616,1661
43250,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,1520,8.63623,40318708157.0,0.3978,0.67676,8.48975,0.14648,34,1,0.3099699999999999,0.62335,1,0.22639,0.41677,21.674,1.01878,1,0.49312,0.4184600000000001,17.508689999999998,1.01878,1,0,0.0,11,4.1019,1,3.5394400000000004,1,231.77226,192.93825,0.0,942,1806
43251,35,4,8c3b4864-b0082cc0-c6b71454-373cab30-a9d65359,1550,8.79785,40320325428.0,0.30822,0.60258,8.637210000000001,0.16064,35,1,0.32387,0.51075,1,0.22604,0.41193,20.677,1.04574,1,0.49335,0.41385,16.8915,1.04574,1,0,0.0,11,4.01475,1,3.3728800000000003,1,189.73695,155.02396000000005,0.0,429,1582
